timestamp,zone,people,garbage,risk,cleanliness_score
17:53:16,cctv_zone,10,1,MODERATE,92.4
17:53:18,cctv_zone,10,0,MODERATE,100
17:53:21,cctv_zone,13,0,MODERATE,100
17:53:25,cctv_zone,13,1,MODERATE,92.22
17:53:29,cctv_zone,13,0,MODERATE,100
17:53:33,cctv_zone,11,2,MODERATE,84.68
17:53:37,cctv_zone,13,0,MODERATE,100
17:53:41,cctv_zone,9,1,LOW,92.46
17:53:44,cctv_zone,13,0,MODERATE,100
17:53:48,cctv_zone,10,0,MODERATE,100
17:53:54,cctv_zone,11,0,MODERATE,100
17:53:58,cctv_zone,9,0,LOW,100
17:54:00,cctv_zone,9,0,LOW,100
17:54:03,cctv_zone,10,0,MODERATE,100
17:54:05,cctv_zone,11,1,MODERATE,92.34
17:54:07,cctv_zone,14,0,MODERATE,100
17:54:10,cctv_zone,7,0,LOW,100
17:57:44,cctv_zone,10,1,MODERATE,92.4
17:57:46,cctv_zone,10,0,MODERATE,100
17:57:48,cctv_zone,13,0,MODERATE,100
17:57:51,cctv_zone,13,1,MODERATE,92.22
17:57:53,cctv_zone,13,0,MODERATE,100
17:57:56,cctv_zone,11,2,MODERATE,84.68
17:57:58,cctv_zone,13,0,MODERATE,100
17:58:01,cctv_zone,9,1,LOW,92.46
17:58:03,cctv_zone,13,0,MODERATE,100
17:58:06,cctv_zone,10,0,MODERATE,100
17:58:10,cctv_zone,11,0,MODERATE,100
17:58:12,cctv_zone,9,0,LOW,100
17:58:15,cctv_zone,9,0,LOW,100
17:58:18,cctv_zone,10,0,MODERATE,100
17:58:21,cctv_zone,11,1,MODERATE,92.34
17:58:24,cctv_zone,14,0,MODERATE,100
17:58:26,cctv_zone,7,0,LOW,100
17:58:29,cctv_zone,12,0,MODERATE,100
17:58:32,cctv_zone,8,0,LOW,100
17:58:35,cctv_zone,6,3,LOW,77.92
17:58:38,cctv_zone,10,2,MODERATE,84.8
17:58:41,cctv_zone,6,0,LOW,100
17:58:43,cctv_zone,7,0,LOW,100
17:58:46,cctv_zone,9,0,LOW,100
09:55:42,cctv_zone,10,1,MODERATE,92.4
09:55:44,cctv_zone,10,0,MODERATE,100
09:55:47,cctv_zone,13,0,MODERATE,100
09:55:50,cctv_zone,13,1,MODERATE,92.22
09:55:52,cctv_zone,13,0,MODERATE,100
09:55:55,cctv_zone,11,2,MODERATE,84.68
09:55:59,cctv_zone,13,0,MODERATE,100
09:56:02,cctv_zone,9,1,LOW,92.46
09:56:04,cctv_zone,13,0,MODERATE,100
09:56:07,cctv_zone,10,0,MODERATE,100
09:56:11,cctv_zone,11,0,MODERATE,100
09:56:13,cctv_zone,9,0,LOW,100
09:56:16,cctv_zone,9,0,LOW,100
09:56:21,cctv_zone,10,0,MODERATE,100
09:56:24,cctv_zone,11,1,MODERATE,92.34
09:56:27,cctv_zone,14,0,MODERATE,100
09:56:30,cctv_zone,7,0,LOW,100
09:56:32,cctv_zone,12,0,MODERATE,100
09:56:35,cctv_zone,8,0,LOW,100
09:56:38,cctv_zone,6,3,LOW,77.92
09:56:41,cctv_zone,10,2,MODERATE,84.8
09:56:44,cctv_zone,6,0,LOW,100
09:56:47,cctv_zone,7,0,LOW,100
09:56:51,cctv_zone,9,0,LOW,100
10:47:00,cctv_zone,3,0,LOW,100
10:47:03,cctv_zone,1,1,LOW,92.94
10:47:06,cctv_zone,1,0,LOW,100
10:47:10,cctv_zone,0,0,LOW,100
10:47:13,cctv_zone,1,0,LOW,100
10:47:16,cctv_zone,0,1,LOW,93.0
10:47:20,cctv_zone,0,0,LOW,100
10:47:24,cctv_zone,0,0,LOW,100
10:47:27,cctv_zone,0,0,LOW,100
10:47:31,cctv_zone,0,0,LOW,100
10:47:44,cctv_zone,0,0,LOW,100
10:47:48,cctv_zone,0,0,LOW,100
10:47:51,cctv_zone,2,1,LOW,92.88
10:47:55,cctv_zone,0,1,LOW,93.0
10:47:59,cctv_zone,1,1,LOW,92.94
10:48:02,cctv_zone,0,1,LOW,93.0
10:48:05,cctv_zone,0,0,LOW,100
10:48:09,cctv_zone,0,1,LOW,93.0
10:48:13,cctv_zone,0,0,LOW,100
10:48:16,cctv_zone,0,0,LOW,100
10:48:23,cctv_zone,0,0,LOW,100
10:48:27,cctv_zone,0,0,LOW,100
10:48:30,cctv_zone,0,0,LOW,100
10:48:34,cctv_zone,0,0,LOW,100
10:48:37,cctv_zone,0,0,LOW,100
18:51:44,cctv_zone,3,0,LOW,100
18:51:47,cctv_zone,4,0,LOW,100
18:51:50,cctv_zone,4,1,LOW,92.76
18:51:52,cctv_zone,4,1,LOW,92.76
18:51:55,cctv_zone,2,0,LOW,100
18:51:58,cctv_zone,4,0,LOW,100
18:52:00,cctv_zone,3,0,LOW,100
18:52:03,cctv_zone,4,1,LOW,92.76
18:52:06,cctv_zone,4,0,LOW,100
18:52:09,cctv_zone,4,0,LOW,100
18:53:01,cctv_zone,3,0,LOW,100
18:53:04,cctv_zone,4,0,LOW,100
18:53:07,cctv_zone,3,0,LOW,100
19:33:20,cctv_zone,10,1,MODERATE,92.4
19:33:24,cctv_zone,10,0,MODERATE,100
19:33:27,cctv_zone,13,0,MODERATE,100
19:33:31,cctv_zone,13,1,MODERATE,92.22
19:33:35,cctv_zone,13,0,MODERATE,100
19:33:39,cctv_zone,11,2,MODERATE,84.68
19:33:43,cctv_zone,13,0,MODERATE,100
19:33:46,cctv_zone,9,1,LOW,92.46
19:33:50,cctv_zone,13,0,MODERATE,100
19:33:54,cctv_zone,10,0,MODERATE,100
19:34:00,cctv_zone,11,0,MODERATE,100
19:34:03,cctv_zone,9,0,LOW,100
19:34:09,cctv_zone,9,0,LOW,100
19:34:13,cctv_zone,10,0,MODERATE,100
19:34:16,cctv_zone,11,1,MODERATE,92.34
19:34:20,cctv_zone,14,0,MODERATE,100
19:34:23,cctv_zone,7,0,LOW,100
19:34:27,cctv_zone,12,0,MODERATE,100
19:34:30,cctv_zone,8,0,LOW,100
19:34:34,cctv_zone,6,3,LOW,77.92
19:34:38,cctv_zone,10,2,MODERATE,84.8
19:34:41,cctv_zone,6,0,LOW,100
19:34:45,cctv_zone,7,0,LOW,100
19:34:48,cctv_zone,9,0,LOW,100
19:36:09,cctv_zone,3,0,LOW,100
19:36:12,cctv_zone,1,1,LOW,92.94
19:36:16,cctv_zone,1,0,LOW,100
19:36:20,cctv_zone,0,0,LOW,100
19:36:24,cctv_zone,1,0,LOW,100
19:36:27,cctv_zone,0,1,LOW,93.0
19:36:31,cctv_zone,0,0,LOW,100
19:36:35,cctv_zone,0,0,LOW,100
19:36:38,cctv_zone,0,0,LOW,100
19:36:42,cctv_zone,0,0,LOW,100
19:36:56,cctv_zone,0,0,LOW,100
19:36:59,cctv_zone,0,0,LOW,100
19:37:03,cctv_zone,2,1,LOW,92.88
19:37:06,cctv_zone,0,1,LOW,93.0
19:37:10,cctv_zone,1,1,LOW,92.94
19:37:13,cctv_zone,0,1,LOW,93.0
19:37:17,cctv_zone,0,0,LOW,100
19:37:21,cctv_zone,0,1,LOW,93.0
19:37:24,cctv_zone,0,0,LOW,100
19:37:28,cctv_zone,0,0,LOW,100
19:37:35,cctv_zone,0,0,LOW,100
19:37:39,cctv_zone,0,0,LOW,100
19:37:43,cctv_zone,0,0,LOW,100
19:37:46,cctv_zone,0,0,LOW,100
19:37:50,cctv_zone,0,0,LOW,100
20:15:51,cctv_zone,0,0,LOW,100
20:15:56,cctv_zone,0,0,LOW,100
20:16:00,cctv_zone,0,1,LOW,93.0
20:16:04,cctv_zone,1,0,LOW,100
20:16:08,cctv_zone,1,0,LOW,100
20:16:12,cctv_zone,1,0,LOW,100
20:16:16,cctv_zone,0,0,LOW,100
20:16:20,cctv_zone,0,0,LOW,100
20:16:24,cctv_zone,0,3,LOW,79.0
20:16:28,cctv_zone,0,0,LOW,100
20:27:34,cctv_zone,3,0,LOW,100
20:28:16,cctv_zone,3,0,LOW,100
20:28:20,cctv_zone,1,1,LOW,92.94
20:28:25,cctv_zone,1,0,LOW,100
20:28:31,cctv_zone,0,0,LOW,100
20:28:36,cctv_zone,1,0,LOW,100
20:28:40,cctv_zone,0,2,LOW,86.0
20:28:44,cctv_zone,0,0,LOW,100
20:28:48,cctv_zone,0,0,LOW,100
20:28:52,cctv_zone,0,0,LOW,100
20:28:58,cctv_zone,0,0,LOW,100
20:29:13,cctv_zone,0,0,LOW,100
20:29:20,cctv_zone,0,0,LOW,100
20:29:24,cctv_zone,1,2,LOW,85.88
20:29:28,cctv_zone,0,2,LOW,86.0
20:29:32,cctv_zone,0,0,LOW,100
20:29:36,cctv_zone,0,0,LOW,100
20:29:43,cctv_zone,0,0,LOW,100
20:29:47,cctv_zone,0,1,LOW,93.0
20:29:51,cctv_zone,0,0,LOW,100
20:29:55,cctv_zone,0,0,LOW,100
20:30:08,cctv_zone,0,0,LOW,100
20:30:12,cctv_zone,0,0,LOW,100
20:30:16,cctv_zone,0,0,LOW,100
20:30:23,cctv_zone,0,0,LOW,100
20:30:25,cctv_zone,0,0,LOW,100
20:30:53,cctv_zone,3,0,LOW,100
20:30:56,cctv_zone,1,1,LOW,92.94
20:30:59,cctv_zone,1,0,LOW,100
20:31:01,cctv_zone,0,0,LOW,100
20:31:04,cctv_zone,1,0,LOW,100
20:31:07,cctv_zone,0,1,LOW,93.0
20:31:10,cctv_zone,0,0,LOW,100
20:31:14,cctv_zone,0,0,LOW,100
20:31:19,cctv_zone,0,0,LOW,100
20:31:23,cctv_zone,0,0,LOW,100
20:31:40,cctv_zone,0,0,LOW,100
20:31:44,cctv_zone,0,0,LOW,100
20:31:48,cctv_zone,2,1,LOW,92.88
20:31:51,cctv_zone,0,1,LOW,93.0
20:31:54,cctv_zone,1,1,LOW,92.94
20:40:50,cctv_zone,0,0,LOW,100
20:40:53,cctv_zone,0,1,LOW,93.0
20:40:56,cctv_zone,0,1,LOW,93.0
20:40:59,cctv_zone,1,0,LOW,100
20:41:02,cctv_zone,1,0,LOW,100
20:41:05,cctv_zone,1,0,LOW,100
20:41:08,cctv_zone,0,0,LOW,100
